i,date,holiday
1,02/01/2017,New Year Day
2,14/04/2017,Good Friday
3,17/04/2017,Easter Monday
4,01/05/2017,Early May Bank Holiday
5,29/05/2017,Spring Bank Holiday
6,28/08/2017,Late Summer Bank Holiday
7,25/12/2017,Christmas Day
8,26/12/2017,Boxing Day
9,01/01/2018,New Year Day
10,30/03/2018,Good Friday
11,02/04/2018,Easter Monday
12,07/05/2018,Early May Bank Holiday
13,28/05/2018,Spring Bank Holiday
14,27/08/2018,Late Summer Bank Holiday
15,25/12/2018,Christmas Day
16,26/12/2018,Boxing Day
17,01/01/2019,New Year Day
18,19/04/2019,Good Friday
19,22/04/2019,Easter Monday
20,06/05/2019,Early May Bank Holiday
21,27/05/2019,Spring Bank Holiday
22,26/08/2019,Late Summer Bank Holiday
23,25/12/2019,Christmas Day
24,26/12/2019,Boxing Day
25,01/01/2020,New Year Day
26,10/04/2020,Good Friday
27,13/04/2020,Easter Monday
28,04/05/2020,Early May Bank Holiday
29,25/05/2020,Spring Bank Holiday
30,31/08/2020,Late Summer Bank Holiday
31,25/12/2020,Christmas Day
32,28/12/2020,Boxing Day
33,01/01/2021,New Year Day
34,02/04/2021,Good Friday
35,05/04/2021,Easter Monday
36,03/05/2021,Early May Bank Holiday
37,31/05/2021,Spring Bank Holiday
38,30/08/2021,Late Summer Bank Holiday
39,27/12/2021,Christmas Day
40,28/12/2021,Boxing Day
41,03/01/2022,New Year Day
42,15/04/2022,Good Friday
43,18/04/2022,Easter Monday
44,02/05/2022,Early May Bank Holiday
45,02/06/2022,Queen Jubilee
46,03/06/2022,Queen Jubilee
47,29/08/2022,Late Summer Bank Holiday
48,19/09/2022,Queen Funeral
49,26/12/2022,Christmas Day
50,27/12/2022,Boxing Day
51,02/01/2023,New Year Day
52,07/04/2023,Good Friday
53,10/04/2023,Easter Monday
54,01/05/2023,Early May Bank Holiday
55,08/05/2023,King Coronation
56,29/05/2023,Spring Bank Holiday
57,28/08/2023,Late Summer Bank Holiday
58,25/12/2023,Christmas Day
59,26/12/2023,Boxing Day
60,01/01/2024,New Year Day
61,29/03/2024,Good Friday
62,01/04/2024,Easter Monday
63,06/05/2024,Early May Bank Holiday
64,27/05/2024,Spring Bank Holiday
65,26/08/2024,Late Summer Bank Holiday
66,25/12/2024,Christmas Day
67,26/12/2024,Boxing Day
68,01/01/2025,New Year Day
69,18/04/2025,Good Friday
70,21/04/2025,Easter Monday
71,05/05/2025,Early May Bank Holiday
72,26/05/2025,Spring Bank Holiday
73,25/08/2025,Late Summer Bank Holiday
74,25/12/2025,Christmas Day
75,26/12/2025,Boxing Day